Season,Season.1,No. of episodes,Originally aired,Originally aired.1,Originally aired.2,Viewership,Viewership.1,Viewership.2
1,1989–90,13,"December 17, 1989","May 13, 1990",Sunday 8:30 pm,27.8,33.5[178],"""Life on the Fast Lane"""
2,1990–91,22,"October 11, 1990","July 11, 1991",Thursday 8:00 pm,24.4,33.6[179],"""Bart Gets an 'F'"""
3,1991–92,24,"September 19, 1991","August 27, 1992",Thursday 8:00 pm,21.8,25.5[180],"""Colonel Homer"""
4,1992–93,22,"September 24, 1992","May 13, 1993",Thursday 8:00 pm,22.4,28.6[181],"""Lisa's First Word"""
5,1993–94,22,"September 30, 1993","May 19, 1994",Thursday 8:00 pm,18.9,24.0[182],"""Treehouse of Horror IV"""
6,1994–95,25,"September 4, 1994","May 21, 1995",Sunday 8:00 pm,15.6,22.2[183],"""Treehouse of Horror V"""
7,1995–96,25,"September 17, 1995","May 19, 1996",Sunday 8:00 pm (Episodes 1–24) Sunday 8:30 pm (Episode 25),15.1,22.6[184],"""Who Shot Mr. Burns? – Part II"""
8,1996–97,25,"October 27, 1996","May 18, 1997","Sunday 8:30 pm (Episodes 1–3) Sunday 8:00 pm (Episodes 4–12, 14–25) Friday 8:00 pm (Episode 13)[185]",14.5,20.41[186],"""The Springfield Files"""
9,1997–98,25,"September 21, 1997","May 17, 1998",Sunday 8:00 pm,15.3,19.80[187],"""The Two Mrs. Nahasapeemapetilons"""
10,1998–99,23,"August 23, 1998","May 16, 1999",Sunday 8:00 pm,13.5,19.11[188],"""Sunday, Cruddy Sunday"""
11,1999–2000,22,"September 26, 1999","May 21, 2000",Sunday 8:00 pm,8.8,19.16[189],"""Faith Off"""
12,2000–01,21,"November 1, 2000","May 20, 2001",Sunday 8:00 pm,15.5,18.52[190],"""HOMR"""
13,2001–02,22,"November 6, 2001","May 22, 2002",Tuesday 8:30 pm (Episode 1) Sunday 8:00 pm (Episodes 2–20) Sunday 7:30 pm (Episode 21) Wednesday 8:00 pm (Episode 22),12.5,14.91[191],"""The Parent Rap"""
14,2002–03,22,"November 3, 2002","May 18, 2003","Sunday 8:00 pm (Episodes 1–11, 13–21) Sunday 8:30 pm (Episodes 12, 22)",14.4,22.04[192],"""I'm Spelling as Fast as I Can"""
15,2003–04,22,"November 2, 2003","May 23, 2004",Sunday 8:00 pm,11.0,16.30[193],"""I, (Annoyed Grunt)-Bot"""
16,2004–05,21,"November 7, 2004","May 15, 2005","Sunday 8:00 pm (Episodes 1–7, 9–16, 18, 20) Sunday 10:30 pm (Episode 8) Sunday 8:30 pm (Episodes 17, 19, 21)",10.2,23.07[194],"""Homer and Ned's Hail Mary Pass"""
17,2005–06,22,"September 11, 2005","May 21, 2006",Sunday 8:00 pm,9.55,11.66[195],"""Treehouse of Horror XVI"""
18,2006–07,22,"September 10, 2006","May 20, 2007",Sunday 8:00 pm,9.15,11.63[196],"""The Mook, the Chef, the Wife and Her Homer"""
19,2007–08,20,"September 23, 2007","May 18, 2008",Sunday 8:00 pm,8.37,11.74[197],"""Treehouse of Horror XVIII"""
20,2008–09,21,"September 28, 2008","May 17, 2009","Sunday 8:00 pm (Episodes 1–7, 9–21) Sunday 8:30 pm (Episode 8)",7.1,12.40[198],"""Treehouse of Horror XIX"""
21,2009–10,23,"September 27, 2009","May 23, 2010",Sunday 8:00 pm,7.1,14.62[199],"""Once Upon a Time in Springfield"""
22,2010–11,22,"September 26, 2010","May 22, 2011",Sunday 8:00 pm,7.09,12.55[200],"""Moms I'd Like to Forget"""
23,2011–12,22,"September 25, 2011","May 20, 2012",Sunday 8:00 pm,6.15[201],11.48[202],"""The D'oh-cial Network"""
24,2012–13,22,"September 30, 2012","May 19, 2013",Sunday 8:00 pm (Episodes 1–21) Sunday 8:30 pm (Episode 22),5.41[203],8.97[204],"""Homer Goes to Prep School"""
25,2013–14,22,"September 29, 2013","May 18, 2014","Sunday 8:00 pm (Episodes 1–11, 13–22) Sunday 7:30 pm (Episode 12)",5.02[205],12.04[206],"""Steal This Episode"""
26,2014–15,22,"September 28, 2014","May 17, 2015",Sunday 8:00 pm,5.61[207],10.62[208],"""The Man Who Came to Be Dinner"""
27,2015–16,22,"September 27, 2015","May 22, 2016",Sunday 8:00 pm,4.0[209],8.33[210],"""Teenage Mutant Milk-Caused Hurdles"""
28,2016–17,22,"September 25, 2016","May 21, 2017",Sunday 8:00 pm,4.80[211],8.19[212],"""Pork and Burns"""
29,2017–18,21,"October 1, 2017","May 20, 2018",Sunday 8:00 pm,4.07[213],8.04[214],"""Frink Gets Testy"""
30,2018–19,23,"September 30, 2018","May 12, 2019",Sunday 8:00 pm,3.10[215],8.20[216],"""The Girl on the Bus"""
31,2019–20,22,"September 29, 2019","May 17, 2020",Sunday 8:00 pm,2.58[217],5.63[218],"""Go Big or Go Homer"""
32,2020–21,22,"September 27, 2020","May 23, 2021","Sunday 8:00 pm (Episodes 1–10, 12–22) Sunday 9:00 pm (Episode 11)",2.32[219],4.93[220],"""Treehouse of Horror XXXI"""
33,2021–22,22,"September 26, 2021","May 22, 2022","Sunday 8:00 pm (Episodes 1–10, 12–22) Sunday 9:00 pm (Episode 11)",2.25[221],3.97[222],"""Portrait of a Lackey on Fire"""
34,2022–23,22,"September 25, 2022","May 21, 2023","Sunday 8:00 pm (Episodes 1–8, 10–22) Sunday 8:30 pm (Episode 9)",1.83[223],4.77[224],"""From Beer to Paternity"""
35,2023–24,18,"October 1, 2023","May 19, 2024","Sunday 8:00 pm (Episodes 1–5, 7, 10–18) Sunday 8:30 pm (Episodes 6, 8, 9)",1.99[225],5.41[226],"""Do the Wrong Thing"""
